ship-city,Amount
RANGPO,12587.0
ANKLESHWAR,12564.0
KASHIPUR,12520.14
RATLAM,12506.58
KULGAM,12474.29
THANE west,12457.63
Pondicherry,12454.380000000001
HOJAI,12422.0
NORTH 24 PARGANAS,12407.76
ANUGUL,12402.54
SOUTH DELHI,12337.43
NAGAUR,12330.43
DIGBOI,12318.0
DEOGHAR,12302.0
NAHARLAGUN,12271.0
SEHORE,12267.57
Dhanbad,12252.0
SRIKALAHASTI,12236.0
DAMOH,12204.0
OSMANABAD,12150.24
ETAWAH,12131.64
GREATER NOIDA WEST,12117.2
PALGHAR,12115.67
SERAMPORE,12045.0
ARARIA,12019.0
KHANDWA,12006.0
Jabalpur,11995.0
KANNIYAKUMARI,11964.95
KOLAR,11921.24
ahmedabad,11899.0
CHERTHALA,11876.0
TIRUR,11847.58
KHARGONE,11830.0
JIND,11814.0
Jhansi,11784.54
FARRUKHABAD,11753.0
CUDDALORE,11743.67
Jodhpur,11733.19
Thanjavur,11711.52
DEVANAHALLI,11709.0
GUNA,11677.0
Kharar,11671.0
MANCHERIAL,11636.619999999999
gurgaon,11616.0
NAMAKKAL,11578.71
Greater Noida West,11556.86
CONTAI,11555.48
GADAG BETIGERI,11499.93
CHAIBASA,11461.95
KOCH BIHAR,11418.96
KARAIKKUDI,11392.76
RAJNANDGAON,11389.62
HALDIA,11380.380000000001
PUDUKKOTTAI,11363.25
TALEGAON MIDC,11341.29
ROBERTSONPET,11328.0
THIRUVALLUR,11308.0
TENALI,11299.11
Port blair,11293.11
PALANPUR,11277.0
SIDDIPET,11249.0
Bhagalpur,11241.0
ANAPARTHY,11234.0
PALI,11159.0
Kanjoor,11152.1
KULLU,11139.0
Kolhapur,11134.53
KARAD,11125.0
KANHANGAD,11111.0
BANSWARA,11105.0
NILAMBUR,11096.01
TONK,11079.0
KALYAN west,11075.86
SEONI,11025.52
PILERU,11020.82
QUEPEM,10964.0
UDMA,10951.67
Banglore,10884.14
Amritsar,10833.02
ICHALKARANJI,10789.0
